Ancestor;AncestorID;Successor_t;Successor_t+x;Successor_(t+x)+y
Old.Albanian;OldAlbanian;Arvanitika.Albanian;;
Classical.Armenian;ClassicalArmenian;Modern.Eastern.Armenian;;
Middle.Breton;MiddleBreton;Modern.Breton;;
Middle.Cornish;MiddleCornish;;;
Old.Czech;OldCzech;Czech;;
Middle.Dutch;MiddleDutch;Dutch;;
Old.English;OldEnglish;MiddleEnglish;English;
Old.French;OldFrench;MiddleFrench;French;
Old.Frisian;OldFrisian;NorthernFrisian;;
Middle.Greek;MiddleGreek;ModernGreek;;
Middle.Greek;MiddleGreek;CappadocianGreek;;
Middle.High.German;MiddleHighGerman;HighAllemanic;;
Old.Icelandic;OldIcelandic;Icelandic;;
Middle.Irish;MiddleIrish;ModernIrish;;
Old.Lithuanian;OldLithuanian;Lithuanian;;
Old.Low.German;OldLowGerman;MiddleLowGerman;;
Old.Norwegian;OldNorwegian;Norwegian;;
Middle.Persian;MiddlePersian;Farsi;;
Old.Polish;OldPolish;Polish;;
Old.Portuguese;OldPortuguese;Portuguese;;
Old.Provencal;OldProvencal;;;
Old.Russian;OldRussian;ModernRussian;;
Old.Sardinian;OldSardinian;ModernSardinianLogudorese;;
Old.Sicilian;OldSicilian;ModernSicilian;;
Old.Church.Slavic;OldChurchSlavic;ModernBulgarian;;
Old.Spanish;OldSpanish;Spanish;;
Early.Old.Swedish;EarlyOldSwedish;Swedish;;
Old.Tuscan;OldTuscan;Italian;;
Middle.Welsh;MiddleWelsh;ModernWelsh;;
Amorite;Amorite;;;
Ancient South Arabian;AncientSouthArabian;;;
Arabic;Arabic;EgyptianArabic;;
Dumaitic North Arabian;DumaiticNorthArabian;;;
Earlier Egyptian;EarlierEgyptian;MiddleEgyptian;LaterEgyptian;Coptic
Eblaite;Eblaite;;;
Hasaitic North Arabian;HasaiticNorthArabian;;;
Hittite;Hittite;;;
Hurrian;Hurrian;;;
Jewish Babylonian Aramaic;JewishBabylonianAramaic;;;
Jewish Palestinian Aramaic;JewishPalestinianAramaic;;;
Luwian;Luwian;;;
Mandaic Aramaic;MandaicAramaic;;;
Old Akkadian;OldAkkadian;;;
Old Aramaic;OldAramaic;ImperialAramaic;MiddleAramaic;
Old Assyrian;OldAssyrian;MiddleAssyrian;Neo-Assyrian;
Old Babylonian;OldBabylonian;MiddleBabylonian;Neo-Babylonian;
Old Elamite;OldElamite;AchaemenidElamite;;
Phoenician;Phoenician;;;
Samal;Samal;;;
Standard Biblical Hebrew;StandardBiblicalHebrew;MishnaicHebrew;ModernHebrew;
Sumerian;Sumerian;;;
Syriac;Syriac;;;
Ugaritic;Ugaritic;;;
