lang1,lang2,pdf
MiddleGreek_ModernGreek,MiddleGreek_CappadocianGreek,2.6947614295176203
OldEnglish_English,MiddleWelsh_ModernWelsh,1.6182002420738117
MiddleDutch_Dutch,OldFrisian_NorthernFrisian,1.4566514632263687
OldAlbanian_ArvanitikaAlbanian,MiddleGreek_ModernGreek,0.9850541849032828
MiddleGreek_ModernGreek,OldChurchSlavic_ModernBulgarian,0.9009543627368092
Arabic_EgyptianArabic,StandardBiblicalHebrew_ModernHebrew,0.697552656442814
MiddleBreton_ModernBreton,MiddleWelsh_ModernWelsh,0.4042950069634525
OldPortuguese_Portuguese,OldSpanish_Spanish,0.35660586835192043
OldSardinian_ModernSardinianLogudorese,OldTuscan_Italian,0.21063116302358853
OldSardinian_ModernSardinianLogudorese,OldSicilian_ModernSicilian,0.20483702009784707
OldAlbanian_ArvanitikaAlbanian,OldChurchSlavic_ModernBulgarian,0.19547039414475012
MiddleBreton_ModernBreton,OldEnglish_English,0.18888939955767173
OldEnglish_English,OldFrench_French,0.18888939955431433
OldLithuanian_Lithuanian,OldPolish_Polish,0.13570300445541159
MiddleBreton_ModernBreton,OldFrench_French,0.13570251466286556
MiddleIrish_ModernIrish,MiddleWelsh_ModernWelsh,0.12068926393732457
MiddleHighGerman_HighAllemanic,OldTuscan_Italian,0.10593724466475604
OldSicilian_ModernSicilian,OldTuscan_Italian,0.0995030093118721
OldCzech_Czech,OldPolish_Polish,0.08518932711230111
OldCzech_Czech,MiddleHighGerman_HighAllemanic,0.04834813088924796
MiddleDutch_Dutch,MiddleHighGerman_HighAllemanic,0.03785018757851183
MiddleDutch_Dutch,OldFrench_French,0.03732681001603638
OldFrench_French,MiddleWelsh_ModernWelsh,0.021948606259512185
MiddleDutch_Dutch,OldEnglish_English,0.019101888895160714
OldFrisian_NorthernFrisian,MiddleHighGerman_HighAllemanic,0.01874245842671175
MiddleGreek_CappadocianGreek,OldChurchSlavic_ModernBulgarian,0.010946081478895274
